locationid,countyname,data_value,low_confidence_limit,high_confidence_limit,totalpopulation,year,datasource
13121006100,Fulton,11.3,10.0,12.6,3269,2023,BRFSS
13121006200,Fulton,11.1,9.8,12.5,1253,2023,BRFSS
13121006300,Fulton,11.6,10.3,13.1,1757,2023,BRFSS
13121006400,Fulton,10.5,9.3,11.9,902,2023,BRFSS
13121006500,Fulton,10.7,9.5,12.1,3697,2023,BRFSS
13121006601,Fulton,11.1,9.8,12.6,2034,2023,BRFSS
13121006602,Fulton,12.7,11.2,14.3,1050,2023,BRFSS
13121006701,Fulton,11.5,10.2,12.9,2090,2023,BRFSS
13121006702,Fulton,11.7,10.4,13.3,1862,2023,BRFSS
13121006801,Fulton,9.1,7.9,10.4,2297,2023,BRFSS
13121006802,Fulton,14.9,13.0,16.9,1384,2023,BRFSS
13121006900,Fulton,9.8,8.7,11.1,3733,2023,BRFSS
13121007001,Fulton,11.9,10.5,13.3,4055,2023,BRFSS
13121007002,Fulton,11.1,9.8,12.6,2871,2023,BRFSS
13121007100,Fulton,11.9,10.4,13.4,2267,2023,BRFSS
13121007200,Fulton,12.2,10.7,13.8,1968,2023,BRFSS
13121007301,Fulton,11.7,10.4,13.3,4435,2023,BRFSS
13121007302,Fulton,12.7,11.2,14.3,3031,2023,BRFSS
13121007400,Fulton,11.9,10.5,13.5,3141,2023,BRFSS
13121007500,Fulton,12.5,11.1,14.0,3447,2023,BRFSS
13121007602,Fulton,11.6,10.2,13.1,2309,2023,BRFSS
13121007603,Fulton,12.5,11.0,14.1,3979,2023,BRFSS
13121007604,Fulton,13.2,11.6,15.0,3191,2023,BRFSS
13121007703,Fulton,11.0,9.7,12.4,3869,2023,BRFSS
13121007705,Fulton,11.6,10.3,13.1,3969,2023,BRFSS
13121007707,Fulton,11.1,9.8,12.7,2225,2023,BRFSS
13121007708,Fulton,11.4,10.0,12.8,3283,2023,BRFSS
13121007709,Fulton,10.9,9.6,12.4,4211,2023,BRFSS
13121007710,Fulton,11.9,10.6,13.4,2891,2023,BRFSS
13121007711,Fulton,11.4,10.1,13.0,2550,2023,BRFSS
13121007805,Fulton,11.1,9.8,12.5,3780,2023,BRFSS
13121007806,Fulton,11.3,10.0,12.8,5390,2023,BRFSS
13121007807,Fulton,13.3,11.8,15.0,2619,2023,BRFSS
13121007808,Fulton,14.1,12.6,15.8,3749,2023,BRFSS
13121007809,Fulton,10.3,9.2,11.7,4380,2023,BRFSS
13121007810,Fulton,11.9,10.5,13.4,4498,2023,BRFSS
13121007900,Fulton,10.2,9.0,11.5,5067,2023,BRFSS
13121008000,Fulton,10.9,9.7,12.2,4672,2023,BRFSS
13121008103,Fulton,12.2,10.9,13.8,4361,2023,BRFSS
13121008104,Fulton,11.5,10.3,12.9,3413,2023,BRFSS
13121008202,Fulton,12.4,11.0,14.0,2031,2023,BRFSS
13121008203,Fulton,11.6,10.2,13.0,2520,2023,BRFSS
13121008204,Fulton,11.5,10.3,13.0,3260,2023,BRFSS
13121008301,Fulton,12.2,10.8,13.7,2524,2023,BRFSS
13121008302,Fulton,12.2,10.8,13.7,1657,2023,BRFSS
13121008400,Fulton,11.4,10.0,12.8,2865,2023,BRFSS
13121008500,Fulton,10.9,9.7,12.4,2818,2023,BRFSS
13121008601,Fulton,12.3,10.8,14.0,4993,2023,BRFSS
13121008602,Fulton,12.6,11.2,14.3,1413,2023,BRFSS
13121008701,Fulton,12.1,10.7,13.6,3333,2023,BRFSS
13121008702,Fulton,10.7,9.4,12.0,2287,2023,BRFSS
13121008801,Fulton,8.6,7.7,9.8,2654,2023,BRFSS
13121008802,Fulton,9.2,8.1,10.4,3689,2023,BRFSS
13121008903,Fulton,9.1,8.0,10.2,2419,2023,BRFSS
13121008905,Fulton,8.7,7.8,9.8,5536,2023,BRFSS
13121008906,Fulton,8.8,7.7,9.9,2247,2023,BRFSS
13121008907,Fulton,9.1,8.1,10.2,3065,2023,BRFSS
13121008908,Fulton,9.3,8.3,10.5,2272,2023,BRFSS
13121008909,Fulton,8.4,7.4,9.5,1641,2023,BRFSS
13121009001,Fulton,8.4,7.5,9.5,2611,2023,BRFSS
13121009002,Fulton,8.1,7.2,9.2,2981,2023,BRFSS
13121009103,Fulton,9.0,7.9,10.2,3261,2023,BRFSS
13121009104,Fulton,8.7,7.7,9.9,2830,2023,BRFSS
13121009105,Fulton,8.2,7.3,9.3,1220,2023,BRFSS
13121009106,Fulton,9.2,8.1,10.3,2170,2023,BRFSS
13121009201,Fulton,8.6,7.6,9.7,1873,2023,BRFSS
13121009202,Fulton,8.4,7.4,9.5,2733,2023,BRFSS
13121009203,Fulton,9.2,8.2,10.4,2762,2023,BRFSS
13121009301,Fulton,8.3,7.4,9.4,2835,2023,BRFSS
13121009302,Fulton,8.4,7.4,9.5,2276,2023,BRFSS
13121009405,Fulton,8.2,7.2,9.2,4332,2023,BRFSS
