GEOID,NAME,B01003_001E
13121010212,Census Tract 102.12; Fulton County; Georgia,5736
13121010213,Census Tract 102.13; Fulton County; Georgia,883
13121010214,Census Tract 102.14; Fulton County; Georgia,2189
13121010215,Census Tract 102.15; Fulton County; Georgia,1519
13121010216,Census Tract 102.16; Fulton County; Georgia,4150
13121010217,Census Tract 102.17; Fulton County; Georgia,2651
13121010218,Census Tract 102.18; Fulton County; Georgia,1633
13121010219,Census Tract 102.19; Fulton County; Georgia,2154
13121010220,Census Tract 102.20; Fulton County; Georgia,4449
13121010221,Census Tract 102.21; Fulton County; Georgia,2092
13121010222,Census Tract 102.22; Fulton County; Georgia,2564
13121010223,Census Tract 102.23; Fulton County; Georgia,2845
13121010305,Census Tract 103.05; Fulton County; Georgia,5167
13121010306,Census Tract 103.06; Fulton County; Georgia,4101
13121010307,Census Tract 103.07; Fulton County; Georgia,5690
13121010308,Census Tract 103.08; Fulton County; Georgia,4837
13121010309,Census Tract 103.09; Fulton County; Georgia,4300
13121010310,Census Tract 103.10; Fulton County; Georgia,5651
13121010311,Census Tract 103.11; Fulton County; Georgia,6054
13121010312,Census Tract 103.12; Fulton County; Georgia,2897
13121010313,Census Tract 103.13; Fulton County; Georgia,3681
13121010314,Census Tract 103.14; Fulton County; Georgia,2742
13121010315,Census Tract 103.15; Fulton County; Georgia,5327
13121010401,Census Tract 104.01; Fulton County; Georgia,4926
13121010402,Census Tract 104.02; Fulton County; Georgia,4141
13121010508,Census Tract 105.08; Fulton County; Georgia,4267
13121010517,Census Tract 105.17; Fulton County; Georgia,5427
13121010518,Census Tract 105.18; Fulton County; Georgia,2876
13121010519,Census Tract 105.19; Fulton County; Georgia,3605
13121010520,Census Tract 105.20; Fulton County; Georgia,6805
13121010521,Census Tract 105.21; Fulton County; Georgia,1886
13121010522,Census Tract 105.22; Fulton County; Georgia,5735
13121010523,Census Tract 105.23; Fulton County; Georgia,1485
13121010524,Census Tract 105.24; Fulton County; Georgia,4063
13121010525,Census Tract 105.25; Fulton County; Georgia,2742
13121010526,Census Tract 105.26; Fulton County; Georgia,6036
13121010527,Census Tract 105.27; Fulton County; Georgia,7164
13121010528,Census Tract 105.28; Fulton County; Georgia,4025
13121010529,Census Tract 105.29; Fulton County; Georgia,5958
13121010530,Census Tract 105.30; Fulton County; Georgia,3643
13121010531,Census Tract 105.31; Fulton County; Georgia,1929
13121010532,Census Tract 105.32; Fulton County; Georgia,3007
13121010533,Census Tract 105.33; Fulton County; Georgia,2176
13121010534,Census Tract 105.34; Fulton County; Georgia,3526
13121010535,Census Tract 105.35; Fulton County; Georgia,2674
13121010536,Census Tract 105.36; Fulton County; Georgia,3239
13121010537,Census Tract 105.37; Fulton County; Georgia,4243
13121010538,Census Tract 105.38; Fulton County; Georgia,2976
13121010539,Census Tract 105.39; Fulton County; Georgia,2820
13121010540,Census Tract 105.40; Fulton County; Georgia,5942
13121010601,Census Tract 106.01; Fulton County; Georgia,3313
13121010603,Census Tract 106.03; Fulton County; Georgia,3756
13121010604,Census Tract 106.04; Fulton County; Georgia,2728
13121010801,Census Tract 108.01; Fulton County; Georgia,1988
13121010802,Census Tract 108.02; Fulton County; Georgia,4578
13121011000,Census Tract 110; Fulton County; Georgia,2711
13121011100,Census Tract 111; Fulton County; Georgia,2443
13121011202,Census Tract 112.02; Fulton County; Georgia,4294
13121011203,Census Tract 112.03; Fulton County; Georgia,2530
13121011204,Census Tract 112.04; Fulton County; Georgia,1361
13121011301,Census Tract 113.01; Fulton County; Georgia,4951
13121011306,Census Tract 113.06; Fulton County; Georgia,3050
13121011307,Census Tract 113.07; Fulton County; Georgia,5185
13121011308,Census Tract 113.08; Fulton County; Georgia,1913
13121011309,Census Tract 113.09; Fulton County; Georgia,3467
13121011310,Census Tract 113.10; Fulton County; Georgia,5434
13121011416,Census Tract 114.16; Fulton County; Georgia,5258
13121011417,Census Tract 114.17; Fulton County; Georgia,4763
13121011419,Census Tract 114.19; Fulton County; Georgia,5955
13121011421,Census Tract 114.21; Fulton County; Georgia,5717
13121011422,Census Tract 114.22; Fulton County; Georgia,3629
13121011423,Census Tract 114.23; Fulton County; Georgia,6153
13121011424,Census Tract 114.24; Fulton County; Georgia,6325
13121011426,Census Tract 114.26; Fulton County; Georgia,2364
13121011428,Census Tract 114.28; Fulton County; Georgia,2611
13121011429,Census Tract 114.29; Fulton County; Georgia,5340
13121011430,Census Tract 114.30; Fulton County; Georgia,3887
13121011431,Census Tract 114.31; Fulton County; Georgia,4092
13121011432,Census Tract 114.32; Fulton County; Georgia,4095
13121011433,Census Tract 114.33; Fulton County; Georgia,3038
13121011434,Census Tract 114.34; Fulton County; Georgia,3597
13121011435,Census Tract 114.35; Fulton County; Georgia,3911
13121011436,Census Tract 114.36; Fulton County; Georgia,3066
13121011437,Census Tract 114.37; Fulton County; Georgia,2909
13121011438,Census Tract 114.38; Fulton County; Georgia,5588
13121011439,Census Tract 114.39; Fulton County; Georgia,4020
13121011440,Census Tract 114.40; Fulton County; Georgia,2407
13121011441,Census Tract 114.41; Fulton County; Georgia,3651
13121011442,Census Tract 114.42; Fulton County; Georgia,1950
13121011443,Census Tract 114.43; Fulton County; Georgia,3284
13121011444,Census Tract 114.44; Fulton County; Georgia,3589
13121011445,Census Tract 114.45; Fulton County; Georgia,2758
13121011446,Census Tract 114.46; Fulton County; Georgia,2969
13121011505,Census Tract 115.05; Fulton County; Georgia,4290
13121011507,Census Tract 115.07; Fulton County; Georgia,4333
